feature,mean_abs_shap
cat__CITY_Dhanbad,0.0007430205
cat__CITY_Nagpur,0.0007322288
cat__CITY_Chittoor[28],0.0007289937
cat__CITY_Bokaro,0.00071652536
cat__CITY_Mathura,0.00071533385
cat__CITY_Korba,0.00071146776
cat__STATE_Manipur,0.00070030807
cat__CITY_Ambattur,0.0006994654
cat__STATE_Mizoram,0.00069798954
cat__CITY_Nagaon,0.00069593644
cat__CITY_Ambala,0.00069535384
cat__CITY_Madurai,0.0006808549
cat__CITY_Sambhal,0.0006565531
cat__CITY_Jaunpur,0.00064703403
cat__STATE_Tripura,0.0006402336
cat__CITY_Karawal_Nagar,0.00063567876
cat__CITY_Parbhani,0.0006350169
cat__CITY_Hospet,0.0006345371
cat__CITY_Maheshtala,0.0006323358
cat__CITY_Narasaraopet,0.00062742067
cat__CITY_Tadepalligudem,0.0006259844
cat__CITY_Sagar,0.0006258357
cat__CITY_Hyderabad,0.00062519556
cat__CITY_Burhanpur,0.00062513707
cat__CITY_Loni,0.00062412716
cat__CITY_Tumkur,0.00059985556
cat__CITY_Jalna,0.0005974077
cat__CITY_Shimla,0.0005875693
cat__CITY_Hubliâ€“Dharwad,0.00058107515
cat__CITY_Guntakal,0.000570794
cat__CITY_Thoothukudi,0.00056434574
cat__CITY_Hindupur,0.00056198944
cat__CITY_Ajmer,0.0005399116
cat__CITY_Raurkela_Industrial_Township,0.0005364789
cat__CITY_Dhule,0.0005307934
cat__CITY_Bhimavaram,0.0005238247
cat__STATE_Uttar_Pradesh[5],0.00050812116
cat__CITY_Durg,0.0005044404
cat__CITY_Nangloi_Jat,0.0005035456
cat__CITY_Rewa,0.0005017865
cat__CITY_Bhind,0.00049303507
cat__CITY_Dehri[30],0.00048955675
cat__CITY_Dewas,0.00048747245
cat__CITY_Proddatur,0.00048457022
cat__CITY_Ulhasnagar,0.00048331643
cat__CITY_Vadodara,0.00045946485
cat__CITY_Ujjain,0.0004555663
cat__CITY_Jehanabad[38],0.0004454825
cat__CITY_Amritsar,0.00044128924
cat__CITY_Ranchi,0.0004395621
cat__CITY_Anantapur,0.00043351785
cat__CITY_Morbi,0.00043151597
cat__CITY_Allahabad,0.00041846032
cat__CITY_Bikaner,0.0004162997
cat__CITY_Gaya,0.0004132954
cat__CITY_Mumbai,0.00041072842
cat__CITY_Rajkot,0.00039929437
cat__CITY_Tiruchirappalli[10],0.00038708604
cat__CITY_Mangalore,0.00037961488
cat__CITY_Ludhiana,0.0003701457
cat__CITY_Bathinda,0.00036490982
cat__CITY_Uluberia,0.00035586176
cat__CITY_Etawah,0.00035210213
cat__CITY_Alwar,0.00034696868
cat__CITY_Nizamabad,0.00034096566
cat__CITY_Surendranagar_Dudhrej,0.00032390715
cat__CITY_Ambarnath,0.00031939472
cat__CITY_Bhiwandi,0.00031618463
cat__CITY_Gopalpur,0.00031515124
cat__CITY_Giridih,0.00031483293
cat__CITY_Kota[6],0.0003107582
cat__CITY_Jaipur,0.00030253633
cat__CITY_Kirari_Suleman_Nagar,0.0003000808
cat__CITY_Chandrapur,0.00029892143
cat__CITY_Srikakulam,0.00029673995
cat__CITY_Patna,0.0002941928
cat__CITY_Avadi,0.00029236256
cat__CITY_Tirupati[21][22],0.00028562214
cat__CITY_Nashik,0.00027873044
cat__CITY_Vijayawada,0.00024983066
cat__CITY_Jammu[16],0.00024759982
cat__CITY_Morena,0.00024040602
cat__CITY_Tenali,0.00023674477
cat__CITY_Bongaigaon,0.00023472896
cat__CITY_Visakhapatnam[4],0.00021690363
cat__CITY_Kharagpur,0.00020392069
cat__CITY_Phagwara,0.00019909233
cat__CITY_Raipur,0.00019296203
cat__CITY_Meerut,0.00018901007
cat__CITY_Gudivada,0.00016512471
cat__CITY_Jalandhar,0.00012915161
cat__CITY_Nanded,0.00012325033
cat__CITY_Delhi_city,8.959554e-05
cat__CITY_Kadapa[23],8.132847e-05
cat__CITY_Bidar,1.09968005e-05
cat__STATE_Chandigarh,0.0
cat__CITY_Patiala,0.0
cat__STATE_Puducherry,0.0
cat__STATE_Himachal_Pradesh,0.0
